,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense,CenterLatitude,CenterLongitude
21812,Bodily Force,Male,Black,Tensed                                                                         ,Holland,Unwanted Person ,OBSTRU,45.010872,-93.248242
21813,Bodily Force,Female,Black,Verbal Non-Compliance                                                          ,Downtown West,Drunk/Intoxicated Person ,CIC,44.979187,-93.273109
21814,Bodily Force,Male,White,Tensed                                                                         ,Whittier,Officer Needs Help ,WT,44.948347,-93.280523
21815,Chemical Irritant,Female,Unknown,Commission of a Crime                                                          ,Powderhorn Park,Disturbance ,MISC,44.941357,-93.253085
21816,Taser,Male,White,Commission of Crime,North Loop,Assist EMS Personnel ,DISARM,44.988167,-93.277601
21817,Bodily Force,Male,White,Verbal Non-Compliance,Lowry Hill East,Suspicious Person ,DISCON,44.949609,-93.298274
21818,Taser,Male,White,Tensed,Willard - Hay,Emotionally Disturb Person ,OBSTRU,44.989537,-93.315926
21819,Bodily Force,Male,Native American,Assaulted Officer,North Loop,Officer Needs Help ,ASLT4,44.979874,-93.283902
21820,Gun Point Display,Male,Black,Fled on Foot,Lind - Bohanon,Attempt Pick-Up ,THREAT,45.048421,-93.299158
21821,Bodily Force,Female,Native American,Tensed,Central,Unknown Trouble ,OBSTRU,44.943176,-93.269597
21822,Taser,Male,Other / Mixed Race,Fled on Foot,Downtown West,Suspicious Person ,DASLT5,44.979986,-93.274284
21823,Taser,Male,Black,Fled on Foot,Near - North,Theft ,OBSTRU,44.998608,-93.285655
21824,Bodily Force,Female,Black,Tensed,McKinley,Domestic ,FORCE,45.013983,-93.284936
21825,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Disturbance ,DISCON,44.980065,-93.271883
21826,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Foot Beat ,DISCON,44.980065,-93.271883
21827,Bodily Force,Male,Black,Fled on Foot                                                                   ,Jordan,Assault in Progress ,DASLT5,45.011437,-93.308869
21828,Bodily Force,Male,Black,Fled in a Vehicle                                                              ,Near - North,Suspicious Person ,NARC,44.999135,-93.286823
21829,Bodily Force,Male,Black,Fled on Foot                                                                   ,Downtown West,Chase on Foot ,FLEEFT,44.977582,-93.275347
21830,Bodily Force,Female,Black,Other                                                                          ,Folwell,Domestic Abuse-In Progress ,OBSTRU,45.013147,-93.296217
21831,Bodily Force,Male,Black,Other                                                                          ,Lind - Bohanon,Sound of Shots Fired ,DASLT2,45.047524,-93.292135
21832,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,Tangletown,Burglary Biz - In Progress ,BURGB,44.91693,-93.277974
21833,Bodily Force,Female,Black,Tensed                                                                         ,King Field,Disturbance ,OBSTRU,44.935927,-93.277269
21834,Bodily Force,Male,Black,Commission of a Crime                                                          ,North Loop,Assault in Progress ,MISC,44.979651,-93.286883
21835,Maximal Restraint Technique,Male,Black,Verbal Non-Compliance                                                          ,Downtown West,Person with a Weapon ,DASLT5,44.979626,-93.272499
21836,Bodily Force,Female,Black,Assaulted Officer                                                              ,Willard - Hay,Theft ,ASLT4,44.997857,-93.308208
21837,Bodily Force,Male,Black,Tensed                                                                         ,Ventura Village,Traffic Law Enforcement ,TLE,44.959124,-93.258484
21839,Chemical Irritant,Male,Black,Assaulted Officer                                                              ,Downtown West,Officer Needs Help ,ASLT4,44.980808,-93.273141
21840,Bodily Force,Male,White,Other                                                                          ,Steven's Square - Loring Heights,Emotionally Disturb Person ,CIC,44.964189,-93.285053
21841,Bodily Force,Female,Black,Other                                                                          ,Webber - Camden,Emotionally Disturb Person ,OBSTRU,45.030551,-93.29577
21842,Bodily Force,Male,Black,Commission of a Crime                                                          ,Phillips West,Domestic ,OFPEN,44.958215,-93.26641
21843,Taser,Male,Black,Fled on Foot                                                                   ,Powderhorn Park,Suspicious Vehicle ,WT,44.944732,-93.260719
21844,Taser,Male,White,Other                                                                          ,Northeast Park,Theft ,FLEEFT,45.001116,-93.24099
21845,Bodily Force,Male,Unknown,Tensed                                                                         ,Lyndale,Assault in Progress ,OBSTRU,44.947484,-93.28556
21846,Bodily Force,Male,Black,Unspecified,Willard - Hay,Suspicious Person ,NARC,44.999535,-93.300611
21847,Bodily Force,Female,White,Tensed,Steven's Square - Loring Heights,Missing Person ,CIC,44.963954,-93.274665
21848,Bodily Force,Male,Black,Fled on Foot,Lind - Bohanon,Attempt Pick-Up ,THREAT,45.048421,-93.299158
21849,Bodily Force,Male,Black,Fled on Foot,Lind - Bohanon,Attempt Pick-Up ,THREAT,45.048421,-93.299158
21850,Bodily Force,Male,White,Fled on Foot,Hawthorne,Personal Injury Accident ,HRNI,44.999677,-93.2802
21851,Bodily Force,Male,Native American,Fled on Foot,Midtown Phillips,Narcotics ,POSDPA,44.953733,-93.254363
21852,Bodily Force,Male,Black,Tensed,Willard - Hay,Domestic ,FORCE,44.991502,-93.303832
21853,Bodily Force,Male,Black,Commission of Crime,Harrison,Assist EMS Personnel ,WEAP,44.98262,-93.298198
21854,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,DISCON,44.980833,-93.27196
21855,Bodily Force,Male,White,Tensed                                                                         ,Marcy Holmes,Suspicious Vehicle ,DISCON,44.989811,-93.252446
21856,Taser,Male,White,Assaulted Officer                                                              ,Downtown West,Disturbance ,ASLT4,44.980808,-93.273141
21857,Taser,Male,Black,Fled on Foot                                                                   ,Steven's Square - Loring Heights,Property Damage/Hit & Run ,FLEEFT,44.965512,-93.271487
21858,Bodily Force,Male,Black,Tensed                                                                         ,Hawthorne,Domestic Abuse-In Progress ,CIC,45.008964,-93.284938
21860,Bodily Force,Male,White,Tensed                                                                         ,Downtown West,Suspicious Person ,TRSPAS,44.975433,-93.273422
21861,Chemical Irritant,Female,Black,Commission of a Crime                                                          ,Cedar Riverside,Fight ,DISCON,44.971325,-93.247134
21862,Bodily Force,Male,Black,Tensed                                                                         ,Near - North,Shooting ,ASLT2,44.999135,-93.286823
21863,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Suspicious Person ,SHOPLF,44.975433,-93.273422
21864,Bodily Force,Male,White,Other                                                                          ,Folwell,Emotionally Disturb Person ,WT,45.02125,-93.29308
21865,Bodily Force,Male,White,Tensed                                                                         ,Downtown West,Check the Welfare ,CIC,44.97606,-93.274885
21866,Bodily Force,Male,Black,Fled on Foot                                                                   ,North Loop,Suspicious Person ,OBSTRU,44.98431,-93.279496
21867,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Hawthorne,Disturbance ,WT,44.999687,-93.289522
21868,Bodily Force,Male,Black,Other                                                                          ,University of Minnesota,Attempt Pick-Up ,FINFO,44.974179,-93.228695
21869,Bodily Force,Male,Black,Tensed                                                                         ,Steven's Square - Loring Heights,Unknown Trouble ,OBSTRU,44.96332,-93.27658
21870,Bodily Force,Male,Black,Commission of a Crime                                                          ,Ventura Village,Recover Vehicle ,RECVEH,44.95958,-93.256162
21872,Bodily Force,Male,Black,Commission of a Crime                                                          ,Loring Park,Person with a Gun ,ASLT2,44.969381,-93.277816
21873,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,Bancroft,Suspicious Vehicle ,R&C,44.932289,-93.247974
21874,Bodily Force,Male,Black,Tensed                                                                         ,Hawthorne,High Risk Warrant Entry ,OBSTRU,45.002031,-93.284933
21875,Bodily Force,Male,Unknown,Commission of a Crime                                                          ,University of Minnesota,Suspicious Person ,ASLT5,44.974179,-93.228695
21876,Taser,Male,Black,Fled on Foot                                                                   ,Lowry Hill East,Domestic with Weapons ,DASLT5,44.962703,-93.29092
21877,Bodily Force,Male,Black,Fled on Foot                                                                   ,Jordan,Traffic Law Enforcement ,NARC,45.00601,-93.306309
21878,Bodily Force,Male,Black,Tensed                                                                         ,Folwell,Traffic Law Enforcement ,OBSTRU,45.013188,-93.300015
21879,Bodily Force,Male,White,Assaulted Officer                                                              ,Downtown West,Disturbance ,ASLT4,44.980808,-93.273141
21880,Bodily Force,Male,Black,Fled on Foot                                                                   ,Steven's Square - Loring Heights,Property Damage/Hit & Run ,FLEEFT,44.965512,-93.271487
21881,Bodily Force,Male,Black,Fled on Foot                                                                   ,Downtown West,Theft ,TFPER,44.977582,-93.275347
21882,Bodily Force,Male,White,Fled on Foot                                                                   ,North Loop,Suspicious Person ,WT,44.98431,-93.279496
21883,Bodily Force,Male,Black,Fled on Foot                                                                   ,Steven's Square - Loring Heights,Slumper ,STOLMV,44.965747,-93.27276
21884,Bodily Force,Male,Black,Tensed                                                                         ,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.007793,-93.284934
21885,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Directed Patrol ,OPBOTT,44.978019,-93.277025
21886,Bodily Force,Male,Black,Tensed                                                                         ,Near - North,Suspicious Vehicle ,OBSTRU,44.991587,-93.294078
21887,Bodily Force,Male,White,Assaulted Officer                                                              ,Hawthorne,Suspicious Vehicle ,ASLT4,45.01132,-93.289539
21888,Bodily Force,Male,Black,Tensed                                                                         ,Elliot Park,Crim Sex Conduct ,DISCON,44.968485,-93.267657
21889,Bodily Force,Male,White,Fled on Foot                                                                   ,North Loop,Suspicious Person ,WT,44.98431,-93.279496
21890,Bodily Force,Male,White,Tensed                                                                         ,Lowry Hill East,Suspicious Person ,NARC,44.948366,-93.297008
21891,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,East Phillips,Person with a Gun ,ASLT2,44.948364,-93.238629
21892,Bodily Force,Male,White,Other                                                                          ,Downtown West,Suspicious Person ,DISCON,44.974499,-93.274317
21893,Bodily Force,Male,Black,Tensed                                                                         ,Near - North,Suspicious Vehicle ,OBSTRU,44.991587,-93.294078
21894,Bodily Force,Male,White,Assaulted Officer                                                              ,Hawthorne,Suspicious Vehicle ,ASLT4,45.01132,-93.289539
21895,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Central,Fight ,FORCE,44.946667,-93.267105
21896,Bodily Force,Female,Black,Other                                                                          ,Jordan,Domestic ,DASLT5,45.003176,-93.299087
21897,Bodily Force,Male,Black,Other                                                                          ,Jordan,Property Damage Accident ,WT,45.006897,-93.303157
21898,Bodily Force,Female,Black,Assaulted Officer                                                              ,Willard - Hay,Domestic ,ASLT4,44.996643,-93.308211
21899,Bodily Force,Female,White,Assaulted Officer                                                              ,Jordan,Poss Personal Injury Acc ,ASLT4,45.005383,-93.294112
21900,Bodily Force,Male,Black,Other                                                                          ,Cleveland,Domestic Abuse-In Progress ,FORCE,45.014149,-93.312066
21901,Bodily Force,Male,Unknown,Commission of a Crime                                                          ,Jordan,Unknown Trouble ,WT,45.005572,-93.308208
21902,Taser,Male,White,Assaulted Officer                                                              ,Downtown West,Emotionally Disturb Person ,ASLT4,44.974295,-93.27996
21903,Bodily Force,Female,Unknown,Other                                                                          ,Northeast Park,Fight ,ASLT3,45.005258,-93.244827
21904,Bodily Force,Male,White,Commission of a Crime                                                          ,Marcy Holmes,Overdose-Accidental ,ARSON,44.986729,-93.253053
21905,Bodily Force,Male,White,Tensed                                                                         ,Downtown West,Unwanted Person ,OBSTRU,44.974295,-93.266112
21906,Bodily Force,Female,Black,Tensed                                                                         ,Victory,Community Engagement Meeting,TRSSCH,45.034413,-93.305988
21907,Chemical Irritant,Male,Black,Commission of a Crime                                                          ,Downtown West,Fight ,ASLT4,44.979626,-93.272499
21908,Bodily Force,Male,Black,Fled in a Vehicle                                                              ,Near - North,Suspicious Vehicle ,STOLMV,44.985137,-93.293985
21909,Bodily Force,Male,Unknown,Assaulted Officer                                                              ,Loring Park,Assault in Progress ,OBSTRU,44.970506,-93.277714
21911,Bodily Force,Female,White,Tensed                                                                         ,Whittier,Person with a Weapon ,FORCE,44.950852,-93.277907
21912,Taser,Male,Black,Verbal Non-Compliance                                                          ,Folwell,Missing Person ,OBSTRU,45.014976,-93.29748
21914,Bodily Force,Female,White,Other                                                                          ,Columbia Park,Emotionally Disturb Person ,THEFT,45.032605,-93.255521
21915,Bodily Force,Male,White,Tensed                                                                         ,Mid - City Industrial,Poss Personal Injury Acc ,DWIDRE,44.998699,-93.237799
21916,Bodily Force,Male,Black,Fled on Foot                                                                   ,Waite Park,Unknown Trouble ,CIC,45.030322,-93.247247
21917,Bodily Force,Male,Black,Commission of a Crime                                                          ,Hawthorne,Domestic ,OBSTRU,45.01134,-93.291702
21918,Chemical Irritant,Male,Unknown,Commission of a Crime                                                          ,Downtown West,Disturbance ,FORCE,44.980065,-93.271883
21919,Bodily Force,Female,Black,Tensed                                                                         ,Downtown West,Disturbance ,OBSTRU,44.976808,-93.276431
21920,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,McKinley,Assault in Progress ,FORCE,45.017596,-93.286504
21921,Bodily Force,Female,Black,Assaulted Officer                                                              ,Whittier,Fight ,ASLT4,44.959194,-93.277198
21922,Bodily Force,Male,Black,Tensed                                                                         ,Seward,Domestic with Weapons ,CIC,44.956473,-93.231485
21923,Bodily Force,Female,White,Assaulted Officer                                                              ,Lowry Hill East,Fight ,BURGB,44.948812,-93.297004
21924,Chemical Irritant,Male,Black,Commission of a Crime                                                          ,Downtown West,Fight ,ASLT3,44.981655,-93.271963
21925,Maximal Restraint Technique,Male,Black,Assaulted Officer                                                              ,Waite Park,Domestic Abuse-In Progress ,ASLT4,45.030322,-93.247247
21926,Bodily Force,Female,Black,Tensed                                                                         ,Near - North,Unknown Trouble ,ASLT5,44.999148,-93.291816
21927,Bodily Force,Male,White,Other                                                                          ,Hawthorne,Chase on Foot ,R&C,45.009534,-93.292421
21928,Chemical Irritant,Male,White,Commission of a Crime                                                          ,Lowry Hill East,Fight ,FORCE,44.949609,-93.298274
21929,Bodily Force,Male,Black,Other                                                                          ,Near - North,ShotSpotter Activation ,WEAP,44.986043,-93.301366
21930,Bodily Force,Male,Black,Assaulted Officer                                                              ,Lind - Bohanon,Domestic Abuse-In Progress ,DOMEN,45.04209,-93.289498
21931,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,East Isles,Damage Property-In Progress,DAMPRP,44.955913,-93.296528
21933,Bodily Force,Male,Black,Other                                                                          ,Lind - Bohanon,Traffic Law Enforcement ,NODL,45.049322,-93.289591
21934,Bodily Force,Male,Black,Fled on Foot                                                                   ,Whittier,Assault in Progress ,ROBPAG,44.951347,-93.281331
21935,Chemical Irritant,Male,Black,Other                                                                          ,Cedar Riverside,Traffic Law Enforcement ,TLE,44.970376,-93.247623
21936,Bodily Force,Male,Black,Fled on Foot                                                                   ,Willard - Hay,Suspicious Vehicle ,STOLMV,45.004039,-93.308476
21937,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Unwanted Person ,TRSPAS,44.982137,-93.269013
21938,Bodily Force,Male,White,Fled on Foot                                                                   ,Shingle Creek,Receive Information ,FENTRY,45.0506,-93.309372
21940,Bodily Force,Male,White,Tensed                                                                         ,Ventura Village,Person Threat to Jump ,CIC,44.964541,-93.258187
21941,Bodily Force,Male,Black,Tensed                                                                         ,East Phillips,Theft ,R&C,44.948369,-93.239479
21942,Bodily Force,Female,Black,Fled in a Vehicle                                                              ,Loring Park,Domestic Abuse-In Progress ,TRSPAS,44.964843,-93.28379
21943,Bodily Force,Female,Black,Other                                                                          ,Audubon Park,Domestic Abuse-In Progress ,CIC,45.015868,-93.24734
21944,Maximal Restraint Technique,Female,White,Assaulted Officer                                                              ,Harrison,Domestic ,DASLT5,44.980743,-93.306062
21945,Bodily Force,Female,White,Assaulted Officer                                                              ,Downtown West,Poss Personal Injury Acc ,ASLT4,44.977385,-93.26258
21946,Bodily Force,Male,White,Commission of a Crime                                                          ,Downtown West,Suspicious Person ,OBSTRU,44.981478,-93.262839
21947,Bodily Force,Male,Black,Commission of a Crime                                                          ,Near - North,Burglary Dwlng In Progress ,BURGD,44.992516,-93.292586
21948,Bodily Force,Male,Black,Fled on Foot                                                                   ,Phillips West,Domestic ,OFPEN,44.958215,-93.26641
21949,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Folwell,Personal Injury Accident ,DWI,45.013188,-93.300015
21950,Bodily Force,Male,Native American,Assaulted Officer                                                              ,Seward,Miscellaneous ,ASLT4,44.962671,-93.245238
21951,Chemical Irritant,Male,Black,Tensed                                                                         ,Downtown West,Disturbance ,DISCON,44.981655,-93.271963
21952,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Suspicious Person ,ASLT4,44.976944,-93.278197
21953,Bodily Force,Male,Native American,Assaulted Officer,North Loop,Officer Needs Help ,ASLT4,44.979874,-93.283902
21954,Bodily Force,Male,Black,Fled on Foot,Lind - Bohanon,Attempt Pick-Up ,THREAT,45.048421,-93.299158
21955,Taser,Male,Black,Commission of Crime,Near - North,Assist an Officer ,ASLT4,44.999135,-93.286823
21956,Bodily Force,Male,Black,Tensed,Near - North,Suspicious Person ,OBSTRU,44.994695,-93.297174
21957,Bodily Force,Male,Black,Tensed,Downtown East,Theft ,THEFT,44.975994,-93.254517
21958,Taser,Male,Black,Fled on Foot,Near - North,Disturbance ,BURGD,44.998072,-93.299403
21959,Bodily Force,Male,Black,Verbal Non-Compliance,Near - North,Person with a Weapon ,FORCE,44.990594,-93.301959
21960,Chemical Irritant,Male,White,Commission of Crime,Marcy Holmes,Officer Needs Help ,OBSTRU,44.980009,-93.236171
21961,Taser,Male,Black,Fled on Foot                                                                   ,Elliot Park,Damage Property-In Progress,ASLT2,44.969583,-93.25809
21962,Bodily Force,Male,Black,Fled on Foot                                                                   ,Downtown West,Assault in Progress ,ASLT5,44.980065,-93.271883
21963,Chemical Irritant,Male,Black,Other                                                                          ,Downtown West,Unknown Trouble ,DISCON,44.979187,-93.273109
21965,Bodily Force,Male,Black,Tensed                                                                         ,Folwell,Traffic Law Enforcement ,WT,45.013147,-93.296217
21966,Bodily Force,Male,White,Tensed                                                                         ,East Phillips,ShotSpotter Activation ,OBSTRU,44.959225,-93.247208
21967,Bodily Force,Male,Native American,Tensed                                                                         ,Loring Park,Burglary Dwlng In Progress ,BURGD,44.966928,-93.283228
21968,Bodily Force,Male,White,Commission of a Crime                                                          ,Downtown West,Theft - Report Only ,MISC,44.97529,-93.274567
21970,Bodily Force,Male,Black,Tensed                                                                         ,Downtown East,Walk Through a Building ,TRSPAS,44.975466,-93.259606
21971,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,Sheridan,Theft ,TFMV,45.002397,-93.267674
21972,Bodily Force,Male,White,Assaulted Officer                                                              ,Como,Check the Welfare ,ASLT4,44.990518,-93.228213
21973,Bodily Force,Male,Black,Other                                                                          ,University of Minnesota,Attempt Pick-Up ,FINFO,44.974179,-93.228695
21975,Bodily Force,Male,White,Fled in a Vehicle                                                              ,Ventura Village,Slumper w/Fire ,OBSTRU,44.963324,-93.265106
21976,Bodily Force,Male,Black,Tensed                                                                         ,Cleveland,Disturbance ,WEAP,45.01357,-93.309517
21977,Bodily Force,Male,Black,Commission of a Crime                                                          ,East Phillips,Unwanted Person ,OBSTRU,44.958234,-93.24987
21978,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Downtown West,Emotionally Disturb Person ,CIC,44.978713,-93.268863
21979,Bodily Force,Male,Black,Tensed                                                                         ,Holland,Officer Needs Help ,DISCON,45.009939,-93.252455
21980,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Suspicious Person ,FORCE,44.979626,-93.272499
21981,Bodily Force,Male,Black,Tensed                                                                         ,Folwell,Poss Personal Injury Acc ,ASLT4,45.020348,-93.2937
21982,Taser,Male,Native American,Other                                                                          ,Logan Park,Indecent Exposure ,CIC,45.00643,-93.250941
21983,Bodily Force,Male,White,Tensed                                                                         ,Marcy Holmes,Suspicious Vehicle ,DISCON,44.989811,-93.252446
21984,Bodily Force,Male,White,Tensed                                                                         ,Downtown West,Down Outside-One ,WEAP,44.977582,-93.275347
21986,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,East Phillips,Loud Party ,OBSTRU,44.949219,-93.248682
21987,Chemical Irritant,Unknown,Black,Commission of a Crime                                                          ,Loring Park,Fight ,DISCON,44.968853,-93.277814
21988,Bodily Force,Male,White,Tensed                                                                         ,Central,Assault in Progress ,DISCON,44.948352,-93.268395
21989,Bodily Force,Female,Black,Tensed                                                                         ,Folwell,Traffic Law Enforcement ,DWI,45.018546,-93.2937
21990,Bodily Force,Male,White,Other                                                                          ,Downtown West,Suspicious Person ,DISCON,44.974499,-93.274317
21991,Bodily Force,Male,White,Fled on Foot                                                                   ,ECCO,Person with a Weapon ,CIC,44.94659,-93.298937
21992,Bodily Force,Male,White,Assaulted Officer                                                              ,Hawthorne,Suspicious Vehicle ,ASLT4,45.01132,-93.289539
21993,Taser,Male,White,Verbal Non-Compliance                                                          ,Prospect Park - East River Road,Emotionally Disturb Person ,CIC,44.969044,-93.224284
21994,Bodily Force,Male,Black,Tensed                                                                         ,Loring Park,Unknown Trouble ,OFPEN,44.969381,-93.277816
21995,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Disturbance ,DISCON,44.980808,-93.273141
21996,Chemical Irritant,Female,Black,Other                                                                          ,Downtown West,Directed Patrol ,FORCE,44.979626,-93.272499
21997,Bodily Force,Male,Black,Tensed                                                                         ,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.007793,-93.284934
21998,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Directed Patrol ,OPBOTT,44.978019,-93.277025
21999,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Jordan,Traffic Law Enforcement ,DAR,45.013133,-93.294957
22000,Bodily Force,Male,White,Assaulted Officer                                                              ,Hawthorne,Suspicious Vehicle ,ASLT4,45.01132,-93.289539
22001,Bodily Force,Male,Black,Other                                                                          ,Downtown West,Suspicious Person ,OBSTRU,44.979986,-93.274284
22002,Maximal Restraint Technique,Male,White,Other                                                                          ,Seward,Emotionally Disturb Person ,CIC,44.954695,-93.221665
22003,Bodily Force,Female,Black,Assaulted Officer                                                              ,Willard - Hay,Domestic ,ASLT4,44.996643,-93.308211
22004,Bodily Force,Male,Black,Fled on Foot                                                                   ,Jordan,Chase on Foot ,DAMMV,45.002059,-93.295638
22005,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Unknown Trouble ,HLTWEL,44.976944,-93.278197
22006,Bodily Force,Male,White,Tensed                                                                         ,Downtown East,Emotionally Disturb Person ,CIC,44.976501,-93.255937
22007,Bodily Force,Male,Black,Tensed                                                                         ,Seward,Unknown Trouble ,DASLT5,44.9587,-93.236213
22008,Bodily Force,Male,White,Assaulted Officer                                                              ,Downtown West,Emotionally Disturb Person ,ASLT4,44.974295,-93.27996
22009,Bodily Force,Male,White,Commission of a Crime                                                          ,Marcy Holmes,Overdose-Accidental ,ARSON,44.986729,-93.253053
22010,Bodily Force,Male,White,Other                                                                          ,Marcy Holmes,Overdose-Accidental ,ARSON,44.986729,-93.253053
22011,Bodily Force,Female,Black,Tensed                                                                         ,Victory,Community Engagement Meeting,TRSSCH,45.034413,-93.305988
22012,Bodily Force,Female,Black,Verbal Non-Compliance                                                          ,King Field,Unknown Trouble ,DASLT5,44.934121,-93.277262
22013,Bodily Force,Male,Black,Assaulted Officer                                                              ,Whittier,Unwanted Person ,ASLT4,44.960913,-93.287378
22014,Bodily Force,Male,Unknown,Assaulted Officer                                                              ,Loring Park,Assault in Progress ,OBSTRU,44.970506,-93.277714
22017,Bodily Force,Male,Black,Other                                                                          ,Willard - Hay,Theft ,ASLT5,45.006028,-93.311817
22019,Bodily Force,Male,Black,Other                                                                          ,Powderhorn Park,Person with a Weapon ,DASLT2,44.938653,-93.258753
22020,Maximal Restraint Technique,Female,White,Other                                                                          ,Columbia Park,Emotionally Disturb Person ,THEFT,45.032605,-93.255521
22021,Bodily Force,Male,White,Tensed                                                                         ,Downtown West,Check the Welfare ,CIC,44.97606,-93.274885
22022,Chemical Irritant,Unknown,Unknown,Commission of a Crime                                                          ,Downtown West,Disturbance ,FORCE,44.980833,-93.27196
22023,Bodily Force,Male,Black,Assaulted Officer                                                              ,Downtown West,Suspicious Person ,WT,44.976224,-93.269109
22024,Bodily Force,Male,Black,Tensed                                                                         ,Longfellow,Theft ,SHOPLF,44.94837,-93.236855
22025,Bodily Force,Male,Asian,Tensed                                                                         ,Webber - Camden,Check the Welfare ,OBSTRU,45.023971,-93.293741
22026,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Unwanted Person ,TRSPAS,44.982137,-93.269013
22027,Bodily Force,Male,White,Fled on Foot                                                                   ,Shingle Creek,Receive Information ,FENTRY,45.0506,-93.309372
22028,Taser,Female,Black,Other                                                                          ,Lowry Hill East,Fight ,DISCON,44.949609,-93.298274
22029,Taser,Male,White,Tensed                                                                         ,Downtown West,Suspicious Person ,BIKETF,44.980833,-93.27196
22030,Bodily Force,Male,Black,Assaulted Officer                                                              ,Waite Park,Domestic Abuse-In Progress ,ASLT4,45.030322,-93.247247
22031,Bodily Force,Male,Black,Fled on Foot                                                                   ,Steven's Square - Loring Heights,Traffic Law Enforcement ,NARC,44.963323,-93.27529
22032,Bodily Force,Male,White,Other                                                                          ,Hawthorne,Chase on Foot ,R&C,45.009534,-93.292421
22033,Chemical Irritant,Female,Unknown,Verbal Non-Compliance                                                          ,Downtown West,Disturbance ,FORCE,44.979986,-93.274284
22034,Bodily Force,Male,Black,Tensed                                                                         ,Willard - Hay,Attempted Suicide ,CIC,44.999683,-93.309492
22035,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,Elliot Park,Code 3 ,FORCE,44.974488,-93.265022
22036,Bodily Force,Male,White,Assaulted Officer                                                              ,Downtown West,On Site ,ASLT4,44.980781,-93.274296
22037,Bodily Force,Female,White,Assaulted Officer                                                              ,Longfellow,Domestic Abuse-In Progress ,ASLT4,44.947613,-93.227081
22039,Bodily Force,Male,White,Tensed                                                                         ,Lynnhurst,Domestic Abuse-In Progress ,DASLT5,44.906021,-93.30356
22040,Bodily Force,Male,Black,Fled in a Vehicle                                                              ,Longfellow,Forgery Report ,FORGCK,44.948373,-93.226387
22041,Bodily Force,Male,Black,Other                                                                          ,East Harriet,Domestic Abuse-In Progress ,CIC,44.933163,-93.290794
22042,Bodily Force,Female,Black,Commission of a Crime                                                          ,Downtown West,Disturbance ,ASLT5,44.979187,-93.273109
22043,Bodily Force,Male,Black,Assaulted Officer                                                              ,Jordan,Attempt Pick-Up ,ASLT4,45.003966,-93.303788
22044,Bodily Force,Male,White,Fled on Foot                                                                   ,Lind - Bohanon,Suspicious Vehicle ,FLEEFT,45.040297,-93.289535
22045,Bodily Force,Male,White,Tensed                                                                         ,Lowry Hill,Emotionally Disturb Person ,CIC,44.963574,-93.294349
22046,Bodily Force,Male,White,Other                                                                          ,Nicollet Island - East Bank,Emotionally Disturb Person ,OBSTRU,44.988867,-93.253396
22047,Bodily Force,Male,Black,Tensed                                                                         ,East Phillips,Theft ,R&C,44.948369,-93.239479
22048,Taser,Male,Black,Commission of a Crime                                                          ,Downtown West,Check the Welfare ,DAMPRP,44.979124,-93.266665
22049,Taser,Male,Native American,Fled on Foot                                                                   ,Downtown East,Unwanted Person ,FLEEFT,44.975184,-93.258948
22050,Bodily Force,Female,White,Verbal Non-Compliance                                                          ,North Loop,Assist Other Agency ,CIC,44.985516,-93.278573
22052,Bodily Force,Male,Native American,Other                                                                          ,Marcy Holmes,Unwanted Person ,DAMPRP,44.985314,-93.233748
22053,Chemical Irritant,Male,Black,Verbal Non-Compliance                                                          ,Downtown West,Disturbance ,FORCE,44.979986,-93.274284
22054,Bodily Force,Male,Black,Other                                                                          ,Marcy Holmes,Walk Through a Building ,LICVIO,44.990909,-93.251577
22055,Bodily Force,Male,Native American,Fled on Foot                                                                   ,Longfellow,Traffic Law Enforcement ,NARC,44.942146,-93.234279
22056,Bodily Force,Male,Black,Tensed                                                                         ,East Phillips,Shooting ,ASLT2,44.948369,-93.239479
